id,name,position,nfl_team,rank,bye_week
1,Ja'Marr Chase,WR,CIN,1,10
2,Bijan Robinson,RB,ATL,2,5
3,Justin Jefferson,WR,MIN,3,6
4,CeeDee Lamb,WR,DAL,4,10
5,Saquon Barkley,RB,PHI,5,9
6,Jahmyr Gibbs,RB,DET,6,8
7,Malik Nabers,WR,NYG,7,14
8,Christian McCaffrey,RB,SF,8,14
9,Puka Nacua,WR,LAR,9,8
10,Amon-Ra St. Brown,WR,DET,10,8
11,Ashton Jeanty,RB,LV,11,8
12,De'Von Achane,RB,MIA,12,12
13,Nico Collins,WR,HOU,13,6
14,Brian Thomas Jr.,WR,JAX,14,8
15,Derrick Henry,RB,BAL,15,7
16,Jonathan Taylor,RB,IND,16,11
17,A.J. Brown,WR,PHI,17,9
18,Josh Jacobs,RB,GB,18,5
19,Drake London,WR,ATL,19,5
20,Brock Bowers,TE,LV,20,8
21,Bucky Irving,RB,TB,21,9
22,Tyreek Hill,WR,MIA,22,12
23,Kyren Williams,RB,LAR,23,8
24,Trey McBride,TE,ARI,24,8
25,Breece Hall,RB,NYJ,25,9
26,Ladd McConkey,WR,LAC,26,12
27,Chase Brown,RB,CIN,27,10
28,Garrett Wilson,WR,NYJ,28,9
29,Marvin Harrison Jr.,WR,ARI,29,8
30,Jaxon Smith-Njigba,WR,SEA,30,8
31,Rashee Rice,WR,KC,31,10
32,James Cook,RB,BUF,32,7
33,Omarion Hampton,RB,LAC,33,12
34,DK Metcalf,WR,PIT,34,5
35,Josh Allen,QB,BUF,35,7
36,Patrick Mahomes,QB,KC,36,10
37,Terry McLaurin,WR,WAS,37,12
38,Mike Evans,WR,TB,38,9
39,Zay Flowers,WR,BAL,39,7
40,Alvin Kamara,RB,NO,40,11
41,Jalen Hurts,QB,PHI,41,9
42,Courtland Sutton,WR,DEN,42,12
43,Lamar Jackson,QB,BAL,43,7
44,Kenneth Walker III,RB,SEA,44,8
45,DeVonta Smith,WR,PHI,45,9
46,George Kittle,TE,SF,46,14
47,Sam LaPorta,TE,DET,47,8
48,Chuba Hubbard,RB,CAR,48,14
49,Joe Mixon,RB,HOU,49,6
50,Xavier Worthy,WR,KC,50,10
51,Tank Dell,WR,HOU,51,6
52,Calvin Ridley,WR,TEN,52,10
53,Jameson Williams,WR,DET,53,8
54,Tony Pollard,RB,TEN,54,10
55,Aaron Jones,RB,MIN,55,6
